Agency Name,Bureau Name,Account Name,2013,2014
Social Security Administration,Social Security Administration,Federal Old-age and Survivors Insurance Trust Fund,674769000,717325000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Grants to States for Medicaid,269384000,284052000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Federal Hospital Insurance Trust Fund,274307000,279467000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Payments to Health Care Trust Funds,249957000,277528000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,Federal Supplementary Medical Insurance Trust Fund,253050000,270079000
Department of the Treasury,Interest on the Public Debt,Interest on Treasury Debt Securities (gross),253187000,257360000
Department of the Treasury,Interest on the Public Debt,Interest Paid to Trust Fund Receipt Accounts - Shadow Account,156228000,149901000
Social Security Administration,Social Security Administration,Federal Disability Insurance Trust Fund,142478000,147092000
Department of Defense--Military Programs,Allowances,Overseas Contingency Operations Placeholder,0,88482000
Office of Personnel Management,Office of Personnel Management,Civil Service Retirement and Disability Fund,80236000,85639000
Department of Agriculture,Food and Nutrition Service,Supplemental Nutrition Assistance Program,85501000,81200000
Department of Health and Human Services,Centers for Medicare and Medicaid Services,"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",63545000,71471000
Other Defense Civil Programs,Military Retirement,Payment to Military Retirement Fund,67733000,70272000
Department of Veterans Affairs,Benefits Programs,Compensation,56336000,65440000
Social Security Administration,Social Security Administration,Supplemental Security Income Program,53413000,56222000
Department of the Treasury,Internal Revenue Service,Payment Where Earned Income Credit Exceeds Liability for Tax,55123000,55602000
Other Defense Civil Programs,Military Retirement,Military Retirement Fund,53851000,55572000
Department of Labor,Employment and Training Administration,Unemployment Trust Fund,77650000,53254000
Department of Transportation,Department of Transportation,Immediate Transportation Investments,0,47000000
Department of Veterans Affairs,Veterans Health Administration,Medical Services,45610000,46764000
Department of Defense--Military Programs,Military Personnel,"Military Personnel, Army",52728000,41038000
Department of Defense--Military Programs,Operation and Maintenance,"Operation and Maintenance, Navy",44275000,39945000
